Date,North mean,North median,North std,Central mean,Central median,Central std,South mean,South median,South std,Total mean,Total median,Total std
2018-06-11,7.583018,2.6144764,11.516645,9.122735,7.250924,7.4357753,3.0531037,0.82571197,4.9516993,7.1850667,3.208667,10.268609
2018-06-14,7.659431,2.8222547,11.372567,4.9478626,2.3880973,5.3157496,3.1976938,2.033517,3.2763395,6.0162454,2.208076,8.852487
2018-07-11,8.066359,2.4132805,12.264325,6.803461,3.0775957,7.185614,4.016928,2.3635945,4.3773613,6.983394,2.5775464,9.817251
2018-07-14,8.767921,3.200505,11.824244,8.061666,4.082391,8.212036,5.9874964,3.5153878,5.9090796,8.070167,3.5300658,9.897672
2018-07-19,8.607738,3.0178812,12.660957,6.7621417,4.8050537,7.296764,3.915116,1.9285396,4.9731245,7.1460614,2.6317172,10.153765
2018-08-08,14.087443,6.9699297,16.215153,8.216026,3.784259,9.411092,4.778584,3.0371807,5.2330503,8.908479,4.1100235,11.335245
2018-08-10,9.594035,3.0108576,13.2577505,8.640203,4.089206,9.620223,4.9817553,2.96093,5.405805,8.528283,3.138225,11.195924
2018-08-25,9.142546,2.8163335,13.317862,7.4832954,3.63009,8.708713,4.364976,2.0355005,6.0845437,7.796768,2.5005715,11.023368
2018-09-07,10.158904,4.0066466,13.941794,7.9069824,4.491231,7.8995175,4.363647,2.2680027,5.665974,8.45509,3.531672,11.231508
2018-09-09,9.715293,3.3756082,13.57079,8.423827,4.19213,9.006028,4.9525056,2.6484206,6.307599,8.59649,3.0299983,11.3307495
2018-09-17,,,,,,,,,,,,
2018-09-19,8.245046,2.0873618,13.033123,7.773505,3.4609416,9.756523,4.600469,2.0734255,6.4704804,7.5078826,2.174389,11.164409
2018-09-22,9.959915,3.5332685,13.859545,8.049866,4.402642,8.518399,5.0673757,3.0171664,5.943014,8.416951,3.3477607,11.092221
2018-09-24,10.914074,6.013135,13.392297,7.9483438,6.7442675,5.5971622,5.274754,2.869256,6.461627,8.854427,5.3866353,10.30509
2018-10-09,7.229571,1.6441412,12.136469,7.140038,3.0363257,8.862884,3.669755,1.1787224,6.433479,6.639536,1.8037121,10.349597
2018-11-16,13.342436,6.60001,14.937707,22.790352,22.304478,10.83299,4.6769433,3.404425,4.509934,14.031028,7.1555457,14.756055
2018-11-26,11.15159,5.8690867,13.633862,11.225051,10.017836,7.9060674,6.494054,4.3086123,7.4697328,10.81802,6.6045837,11.4218645
2018-12-08,9.210689,2.7863119,13.830745,7.952003,5.263168,8.6497135,3.5387368,1.0090269,5.3641667,8.102322,2.771727,11.70688
2018-12-11,25.985928,26.7939,17.568705,,,,4.42713,3.9757192,3.392432,25.928623,26.75158,17.581285
2018-12-13,9.224982,2.4016094,13.80026,8.388108,3.925074,9.232709,4.269798,1.6830944,6.4548454,8.164329,2.237483,11.504767
2018-12-16,12.096701,6.092297,14.068991,15.962594,14.7025175,9.903439,7.300057,4.5523233,7.6681314,11.670258,6.2199383,12.557548
2018-12-31,19.131641,13.150876,16.285648,21.583588,20.615154,7.2344384,4.5917006,4.056916,3.2729666,16.516792,9.83284,15.649699
2019-01-10,,,,,,,,,,,,
2019-01-17,8.862519,3.1554573,12.205139,7.325688,3.9302053,6.8088317,4.8626842,2.6586988,5.3947377,7.701168,3.125259,9.788689
2019-01-30,9.19381,6.00374,9.877649,9.795275,6.8880644,7.3499155,5.061918,3.4463732,4.8187003,8.232499,5.3356767,8.465362
2019-02-01,9.019606,3.5733423,11.775332,7.147087,4.047798,6.324522,4.918746,2.9953377,4.786713,7.732949,3.3837514,9.389784
2019-02-06,7.9918065,2.8299165,11.799871,6.667561,3.6687207,6.1112823,5.8858037,3.8150449,5.5745573,7.2498055,3.440067,9.413231
2019-02-09,11.300968,6.2778797,11.985605,7.8721657,5.453064,6.3351183,5.8147197,4.3160386,4.576524,8.993776,5.284688,9.37871
2019-02-16,7.7266326,2.7471418,11.541629,6.661151,3.3807223,7.2383833,3.9701927,2.0222557,5.077858,6.761056,2.4159584,9.487686
2019-02-24,7.4281783,3.6663208,10.068394,5.531452,3.0526042,5.521831,3.9631186,2.5337682,3.7402565,6.209717,3.1866765,8.088993
2019-03-01,5.7945585,2.8457403,7.9432163,5.0076,3.2029922,4.461286,6.295888,4.239199,5.4955482,5.5064607,3.1706326,6.5247436
2019-03-03,7.491045,3.685762,9.392922,5.3663077,3.1039171,4.381875,3.5186646,2.243136,3.4011493,6.1245375,2.9705408,7.352377
2019-03-11,8.2151785,3.3815107,11.261337,6.226246,3.2526882,6.5920153,4.114592,2.501369,4.4999714,6.8302817,3.0197134,9.032421
2019-03-21,,,,7.994645,4.2295446,7.577231,,,,7.994645,4.2295446,7.577231
2019-03-23,8.224543,3.088067,11.637959,6.0953355,2.97348,6.2540655,3.591257,2.297385,3.5709348,6.7710085,2.577281,9.248316
2019-04-02,8.719287,3.1033835,12.02911,6.745057,3.4862456,6.938546,3.7772923,2.3934958,3.895612,7.487829,2.851125,9.919507
2019-04-12,7.9009633,2.918674,10.96372,5.8538327,2.6731677,6.123277,3.2932737,2.0479712,3.222599,6.486714,2.2815998,8.787545
2019-04-15,9.140726,3.7026174,11.371847,7.0708327,3.8677177,6.2420177,4.5807533,3.175706,3.5013242,7.724759,3.3356729,9.083381
2019-04-17,8.416499,3.0236516,11.639918,5.726545,2.709003,5.9549203,3.3346024,2.0066872,3.3682816,6.7021384,2.4168735,9.2214575
2019-04-30,8.774906,4.697296,9.709367,6.6672297,3.9202642,5.275662,4.3852115,3.1628387,3.2036777,7.2862096,3.638911,7.652855
2019-05-02,8.059456,3.690402,9.720318,6.3443956,3.8946018,4.80323,4.3553677,3.2565293,3.082433,6.8984585,3.518723,7.636929
2019-05-05,8.743571,3.9129786,10.498343,6.5634546,3.8429863,5.325369,4.8063817,3.4976902,3.641063,7.3832426,3.6763494,8.304418
2019-05-15,8.912123,3.8217576,11.422349,7.168667,4.276953,6.128034,3.5524585,2.0995193,4.11077,7.486053,3.7068887,9.151105
2019-06-01,8.211629,5.5373793,6.966454,5.4400043,3.7032752,3.5311968,6.5322905,5.45037,3.7106137,6.988781,5.0031457,5.7187595
2019-06-16,9.090442,4.2036333,10.875048,7.3433204,3.601031,6.9353094,4.3013773,2.6406531,4.3652706,7.737091,3.5661514,8.994952
2019-06-19,10.25265,4.862056,11.532778,9.369735,5.487381,7.9230146,6.907222,4.9991026,4.9641027,9.422354,5.0329475,9.623996
2019-06-21,9.324997,4.1422596,11.07996,7.653938,4.1417007,6.592229,4.8147345,3.5823588,3.609588,8.046254,3.8869772,8.965403
2019-06-24,9.321827,3.4264266,12.239635,6.0309963,2.37607,6.6043496,4.1671658,2.5701184,4.125641,7.037614,2.6389494,9.229299
2019-06-29,8.997002,5.4252415,9.111884,2.287127,1.6245954,2.208835,2.3833356,1.2397697,2.868289,6.5673947,4.5499606,8.090828
2019-07-04,6.989845,3.052367,8.975618,5.152498,3.0130627,4.415813,3.4535303,2.508923,2.8055496,5.8140755,2.873573,7.06636
2019-07-06,5.6583557,3.27871,5.4740825,4.699614,3.108704,3.174696,3.0254593,2.4297798,1.883788,4.9284234,2.9949484,4.4571114
2019-07-09,,,,,,,,,,,,
2019-07-11,,,,5.5436826,3.0735483,4.7763724,3.468643,2.1585243,3.5047858,4.833643,2.7251587,4.4875774
2019-07-16,8.713252,3.3669012,11.349545,7.055396,3.3499246,7.2961817,3.4569995,1.817109,4.1895695,7.328848,2.8822086,9.403976
2019-07-24,22.72296,19.081364,15.540629,15.382341,13.933208,11.793159,15.346286,14.585592,6.3407,17.836716,16.178978,13.506401
2019-08-03,9.504355,3.9137366,11.4939785,7.745744,3.9204907,7.1722603,4.801271,2.9418979,4.7830563,8.159773,3.6426833,9.451802
2019-08-05,8.577406,3.651653,10.415275,6.975833,3.69951,6.0230374,4.061399,2.634674,3.6994092,7.3314147,3.3230665,8.430693
2019-08-08,9.453862,3.1680942,12.820607,9.106369,3.9321837,9.630242,5.3278375,2.9446394,5.831525,8.692597,3.2086759,10.982087
2019-08-10,9.714105,3.6242127,12.530064,9.736597,4.9017105,8.887368,5.2461843,3.3151731,5.1444073,9.048062,3.9207122,10.5784
2019-08-13,11.082043,5.885099,11.648348,9.654649,6.079439,8.846537,5.09368,3.3717353,5.157016,9.661679,5.479308,10.135252
2019-08-23,9.778427,4.0927835,11.689191,8.8527155,4.6656656,7.6121235,4.9173794,2.9721842,4.8736405,8.721871,4.0689764,9.710426
2019-08-28,13.346635,6.806554,13.726969,13.036297,7.224739,11.96353,5.8617096,4.876335,3.972081,12.459234,6.677191,12.531456
2019-08-30,11.11208,4.353983,13.958156,11.460663,4.976988,11.825432,4.879925,2.2269747,6.9243183,10.271438,4.1876736,12.539131
2019-09-07,,,,,,,,,,,,
2019-09-09,8.426292,3.6508043,11.305442,6.257402,3.3740382,7.630229,3.5848017,1.2438376,6.0261354,6.2699614,2.9892871,8.946546
2019-09-22,10.534024,4.047609,12.88578,8.661228,3.9976754,9.092199,4.237998,2.3520117,5.392568,8.893964,3.737609,10.94629
2019-09-27,13.268589,7.311321,12.532363,12.396679,7.720188,9.619929,7.1221538,5.459323,5.853858,12.019815,7.0592275,10.934181
2019-10-09,10.774255,3.267238,14.688577,10.6836815,3.6938336,12.306638,4.5118246,2.0924203,6.388563,9.79585,3.1055613,13.076097
2019-10-12,14.623633,5.220978,16.759676,17.2663,13.189884,13.956437,5.1744776,3.5225039,5.8559318,13.79535,5.420417,15.241951
2019-11-18,9.284847,2.2390413,13.574707,9.703714,3.1838825,11.875866,3.5289533,1.5524187,5.378162,8.564015,2.074876,12.229521
2019-12-03,11.377988,4.2826357,13.87813,8.94208,3.10351,10.938089,3.456083,1.1250474,5.7709966,9.183167,2.9831893,12.081081
2019-12-06,15.359734,9.757036,14.480328,11.889572,10.157303,6.490396,15.138264,11.541862,11.057183,14.89999,10.145428,13.418839
2019-12-08,11.021315,4.444157,13.511899,9.126023,3.552786,10.794972,4.2911277,2.1635647,5.934638,9.296984,3.1448457,11.840474
2019-12-11,,,,,,,,,,,,
2019-12-13,24.938152,21.692245,15.340937,9.940394,5.4943213,10.426798,4.54984,3.1347609,4.4362974,9.035543,4.0627356,10.277686
2019-12-26,26.461597,24.843233,17.134253,21.295908,19.67874,5.7949705,4.903384,4.252499,3.3985865,19.372355,16.360056,16.968357
2020-01-07,10.3899355,2.8918858,14.609624,12.541482,9.5824,11.322789,3.1953568,1.8270507,4.1032763,9.598311,3.1482527,12.937422
2020-01-15,16.677254,10.270383,13.994623,11.109374,6.228987,9.267191,4.615144,2.8998547,4.6564565,13.083448,7.4365807,12.163966
2020-01-25,14.450201,8.196587,13.628408,12.001222,7.9170566,8.554269,8.05166,7.1826906,3.32969,12.3142395,7.6422224,10.646381
2020-02-01,9.753466,3.2281709,12.560497,6.7468233,2.9571595,7.7406983,4.3461814,3.6178951,2.2606885,7.883473,3.4703221,10.226086
2020-02-11,9.731263,4.4762,11.252602,5.932429,3.3251138,5.362286,4.5039463,3.8400397,2.063943,7.4966383,3.8946707,8.70119
2020-02-24,11.273244,7.989278,9.701478,8.40969,7.04223,4.914977,3.9060287,3.679662,3.1258025,9.185538,7.0809135,7.8452177
2020-02-29,11.566811,6.8651047,11.546131,7.170887,4.597919,5.7900386,5.973102,5.212401,2.813385,9.068622,5.607717,9.094689
2020-03-10,11.159548,4.704327,12.926844,8.136787,4.4491615,7.372306,5.6900954,4.79599,3.1789303,9.243927,4.71977,10.345182
2020-03-12,10.286162,4.2916903,12.079473,7.5313826,4.172078,6.3986344,5.0033927,4.194911,2.9595335,8.509532,4.208137,9.580671
2020-03-15,12.791688,7.5445027,12.834171,10.146657,6.7449994,7.6249876,6.302148,4.9654026,4.1414566,10.801143,6.577961,10.379078
2020-03-20,10.98244,5.770991,11.337377,9.01939,5.924968,7.3473825,6.039113,5.142683,3.0896888,9.532055,5.6759048,9.319712
2020-03-30,10.340452,4.916745,11.927519,7.8491263,4.9286537,6.7008333,6.351942,5.277007,3.8807092,8.843632,5.0526943,9.520441
2020-04-04,8.007666,4.1466374,8.794018,6.2489743,4.35135,4.1600995,4.779089,4.402424,1.4597554,6.903898,4.315339,6.8078256
2020-04-11,8.576732,4.370784,9.129008,5.963543,3.9936342,3.9485946,4.4533606,4.1017075,1.5268426,7.0425706,4.149845,7.0702753
