DATE;PRECIPITATION
01/01/2017;1,4
01/01/2017;1,8
01/01/2017;0,8
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0
01/01/2017;0,2
01/01/2017;7,4
01/01/2017;0
01/01/2017;0
01/01/2017;3,2
01/01/2017;0
01/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
02/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
03/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
04/01/2017;0
05/01/2017;0,4
05/01/2017;0,2
05/01/2017;0
05/01/2017;0,6
05/01/2017;1
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;0
05/01/2017;1
05/01/2017;3,4
05/01/2017;1,8
06/01/2017;1,8
06/01/2017;0,8
06/01/2017;0,2
06/01/2017;0
06/01/2017;0,2
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
06/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0,2
07/01/2017;0,4
07/01/2017;0,4
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
07/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0
08/01/2017;0,8
09/01/2017;0,2
09/01/2017;0,4
09/01/2017;0,4
09/01/2017;0,2
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
09/01/2017;0
10/01/2017;0
10/01/2017;0,8
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;0
10/01/2017;1
10/01/2017;0,2
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0
11/01/2017;0,4
11/01/2017;0
11/01/2017;0
11/01/2017;7,2
11/01/2017;0,2
11/01/2017;0
11/01/2017;0
11/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0,4
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
12/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
13/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
14/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
15/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
16/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;0
17/01/2017;1,8
17/01/2017;0,2
17/01/2017;0,8
17/01/2017;0,2
18/01/2017;2,4
18/01/2017;11
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;0
18/01/2017;3
18/01/2017;0
18/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
19/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
20/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
21/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0,6
22/01/2017;0,2
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
22/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0,2
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0
23/01/2017;0,4
23/01/2017;0,6
23/01/2017;0
23/01/2017;0,2
23/01/2017;9,8
23/01/2017;9
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;0
24/01/2017;12
24/01/2017;2,4
24/01/2017;0,2
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0,2
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;0
25/01/2017;4,4
25/01/2017;0,2
25/01/2017;7,4
25/01/2017;0
25/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;0,2
26/01/2017;0
26/01/2017;0
26/01/2017;0
26/01/2017;2
26/01/2017;8,6
26/01/2017;6
27/01/2017;2,4
27/01/2017;0,4
27/01/2017;0
27/01/2017;0
27/01/2017;0
27/01/2017;0,2
27/01/2017;0
27/01/2017;0
27/01/2017;0
